IUFT QC gate encodings (8682 entries):
                   cmb_cold_spot: θ= 100.0°  φ= 160.0°  ψ=  90.0°
                cosmic_supervoid: θ= 100.0°  φ= 120.0°  ψ= 270.0°
                  cosmic_texture: θ= 100.0°  φ= 290.0°  ψ=  90.0°
  cmb_cold_spot_dark_energy_tensor: θ= 140.0°  φ= 200.0°  ψ=  90.0°
              universe_collision: θ= 160.0°  φ= 240.0°  ψ=  90.0°
              riemann_hypothesis: θ=  80.0°  φ= 260.0°  ψ= 149.4°
                    AtHv1_primed: θ=   0.0°  φ= 100.0°  ψ= 270.0°
              PsHv1_constitutive: θ=   0.0°  φ= 100.0°  ψ= 270.0°
             poincare_conjecture: θ=  80.0°  φ= 130.0°  ψ=  90.0°
                      meet_rh_hc: θ= 130.0°  φ= 130.0°  ψ=  90.0°
                  meet_rh_hc_pnp: θ=  70.0°  φ=   0.0°  ψ=  90.0°
              meet_four_problems: θ=  70.0°  φ=   0.0°  ψ=  90.0°
              five_problems_meet: θ=  70.0°  φ=   0.0°  ψ=  90.0°
       minimal_resolution_system: θ=  70.0°  φ= 130.0°  ψ=  90.0°
  criticality_aware_proof_assistant: θ=  20.0°  φ= 100.0°  ψ=  90.0°
  implementable_critical_proof_assistant: θ=  20.0°  φ= 140.0°  ψ=  90.0°
  computational_criticality_experiment: θ=  50.0°  φ= 180.0°  ψ=  90.0°
              imscribing_grammar: θ=  80.0°  φ= 280.0°  ψ=  90.0°
    tannaka_krein_dual_candidate: θ= 110.0°  φ= 170.0°  ψ=  90.0°
              grammar_pnp_tensor: θ= 140.0°  φ= 120.0°  ψ=  90.0°
            standard_computation: θ=   0.0°  φ=   0.0°  ψ= 270.0°
         holographic_computation: θ= 140.0°  φ= 180.0°  ψ=  90.0°
          pnp_holographic_mirror: θ= 140.0°  φ= 120.0°  ψ=  90.0°
       holographic_embedding_pnp: θ= 140.0°  φ= 180.0°  ψ=  90.0°
               polynomial_time_P: θ=   0.0°  φ=   0.0°  ψ= 270.0°
  nondeterministic_polynomial_NP: θ= 100.0°  φ=  40.0°  ψ=  90.0°
         holographic_duality_pnp: θ= 140.0°  φ= 240.0°  ψ=  90.0°
     <_NP_duality_transformation: θ= 140.0°  φ= 240.0°  ψ=  90.0°
           <_NP_duality_relative: θ= 140.0°  φ= 240.0°  ψ=  90.0°
          p_vs_np_tensor_grammar: θ= 140.0°  φ= 120.0°  ψ=  90.0°
                       <_join_NP: θ= 100.0°  φ=  40.0°  ψ=  90.0°
                 ising_ep_tensor: θ= 100.0°  φ= 240.0°  ψ= 210.6°
           ising_lee_yang_tensor: θ=  80.0°  φ= 240.0°  ψ= 149.4°
              lee_yang_ep_tensor: θ= 100.0°  φ= 240.0°  ψ= 210.6°
  consciousness_complex_critical: θ= 140.0°  φ= 320.0°  ψ= 149.4°
            agi_complex_critical: θ= 140.0°  φ= 320.0°  ψ= 149.4°
          tensor_lee_computation: θ=  80.0°  φ= 120.0°  ψ= 149.4°
                      rh_ep_join: θ= 160.0°  φ= 240.0°  ψ= 210.6°
                      rh_hc_join: θ= 160.0°  φ= 160.0°  ψ= 149.4°
    new_physics_complex_critical: θ= 140.0°  φ= 320.0°  ψ= 149.4°
   new_physics_exceptional_point: θ= 140.0°  φ= 320.0°  ψ= 210.6°
              black_hole_generic: θ= 130.0°  φ= 290.0°  ψ=  90.0°
                    axis_of_evil: θ= 100.0°  φ= 240.0°  ψ=  90.0°
         axis_of_evil_peeled_phi: θ= 100.0°  φ= 240.0°  ψ= 270.0°
    shell_collapsar_hypothetical: θ= 140.0°  φ= 240.0°  ψ=  90.0°
        black_hole_astrophysical: θ= 110.0°  φ= 210.0°  ψ=  90.0°
                      white_hole: θ= 110.0°  φ=  90.0°  ψ=  90.0°
                    neutron_star: θ=  80.0°  φ= 120.0°  ψ= 270.0°
                        magnetar: θ= 140.0°  φ= 220.0°  ψ=  90.0°
                     white_dwarf: θ=  30.0°  φ= 130.0°  ψ= 270.0°
                 shell_collapsar: θ=  70.0°  φ= 210.0°  ψ=  90.0°
                   cosmic_origin: θ= 110.0°  φ= 210.0°  ψ=  90.0°
                    cosmic_death: θ=  70.0°  φ= 210.0°  ψ= 270.0°
    godel_incompleteness_theorem: θ=  20.0°  φ= 130.0°  ψ= 270.0°
              amaterasu_particle: θ=  40.0°  φ=  80.0°  ψ= 270.0°
            holographic_boundary: θ= 160.0°  φ= 290.0°  ψ=  90.0°
              photoreceptor_spot: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                         pit_eye: θ=  50.0°  φ= 110.0°  ψ= 270.0°
                     pinhole_eye: θ=  80.0°  φ= 150.0°  ψ= 270.0°
                        lens_eye: θ= 160.0°  φ= 250.0°  ψ=  90.0°
                grammar_pnp_join: θ= 140.0°  φ= 240.0°  ψ=  90.0°
    deterministic_turing_machine: θ=   0.0°  φ= 120.0°  ψ= 270.0°
  nondeterministic_turing_machine: θ=  50.0°  φ=  40.0°  ψ= 270.0°
        polynomial_time_verifier: θ=  60.0°  φ=  40.0°  ψ= 270.0°
          np_certificate_witness: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                     boolean_sat: θ=  30.0°  φ=  40.0°  ψ=  90.0°
                       three_sat: θ=  30.0°  φ=  40.0°  ψ=  90.0°
     travelling_salesman_problem: θ=  30.0°  φ=  40.0°  ψ=  90.0°
            zx_calculus_x_spider: θ= 110.0°  φ= 240.0°  ψ=  90.0°
       reversible_turing_machine: θ=   0.0°  φ=  80.0°  ψ= 270.0°
   boltzmann_machine_equilibrium: θ=  50.0°  φ=  40.0°  ψ=  90.0°
    topological_quantum_computer: θ= 110.0°  φ= 180.0°  ψ=  90.0°
             bioelectric_network: θ=  50.0°  φ= 120.0°  ψ=  90.0°
        pnp_boundary_imscription: θ= 140.0°  φ= 120.0°  ψ=  90.0°
            zx_calculus_z_spider: θ= 110.0°  φ= 240.0°  ψ=  90.0°
                  atomic_orbital: θ=   0.0°  φ= 130.0°  ψ= 270.0°
                  periodic_table: θ=  90.0°  φ= 170.0°  ψ=  90.0°
                   hydrogen_atom: θ=   0.0°  φ= 130.0°  ψ= 270.0°
                    uranium_atom: θ=  90.0°  φ= 210.0°  ψ=  90.0°
                       s_orbital: θ=   0.0°  φ= 130.0°  ψ= 270.0°
                       p_orbital: θ=  40.0°  φ= 100.0°  ψ= 270.0°
                       d_orbital: θ=  60.0°  φ= 140.0°  ψ= 270.0°
                       f_orbital: θ=  60.0°  φ= 180.0°  ψ=  90.0°
   zx_calculus_complexity_typing: θ= 140.0°  φ= 120.0°  ψ=  90.0°
                           space: θ=  70.0°  φ=  90.0°  ψ= 270.0°
                       spacetime: θ= 120.0°  φ= 230.0°  ψ=  90.0°
                            time: θ= 140.0°  φ= 200.0°  ψ=  90.0°
                 space_time_join: θ= 140.0°  φ= 290.0°  ψ=  90.0°
            continuum_hypothesis: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                         CH_true: θ=  60.0°  φ=  90.0°  ψ=  90.0°
                        CH_false: θ= 100.0°  φ=   0.0°  ψ=  90.0°
                  ZFC_set_theory: θ= 100.0°  φ=   0.0°  ψ=  90.0°
                  CH_independent: θ=  90.0°  φ=  60.0°  ψ=  90.0°
        connes_embedding_problem: θ= 140.0°  φ=  60.0°  ψ=  90.0°
       hilbert_sixteenth_problem: θ= 140.0°  φ= 170.0°  ψ=  90.0°
          zilber_pink_conjecture: θ= 160.0°  φ= 130.0°  ψ=  90.0°
           kaplansky_conjectures: θ= 140.0°  φ=  60.0°  ψ=  90.0°
                 perfect_cuboids: θ=   0.0°  φ= 130.0°  ψ= 270.0°
           grammar_connes_tensor: θ= 160.0°  φ= 180.0°  ψ=  90.0°
         casas_alvero_conjecture: θ= 140.0°  φ=  60.0°  ψ=  90.0°
            grammar_casas_tensor: θ= 160.0°  φ= 180.0°  ψ=  90.0°
              grammar_casas_join: θ= 160.0°  φ= 240.0°  ψ=  90.0°
     casas_alvero_counterexample: θ= 100.0°  φ=   0.0°  ψ= 270.0°
      eilenberg_ganea_conjecture: θ= 160.0°  φ= 240.0°  ψ=  90.0°
  group_cohomological_dimension_2: θ=  70.0°  φ= 140.0°  ψ=  90.0°
        aspherical_2d_cw_complex: θ= 120.0°  φ= 170.0°  ψ=  90.0°
   fundamental_group_isomorphism: θ= 100.0°  φ= 240.0°  ψ=  90.0°
                      complexity: θ= 140.0°  φ= 140.0°  ψ=  90.0°
             meet_pnp_kolmogorov: θ=  40.0°  φ=   0.0°  ψ=  90.0°
   meet_consciousness_kolmogorov: θ=  60.0°  φ= 120.0°  ψ=  90.0°
                 complexity_core: θ=  40.0°  φ=   0.0°  ψ=  90.0°
       halting_analyzer_holistic: θ= 120.0°  φ= 140.0°  ψ=  90.0°
  halting_analyzer_compositional: θ=   0.0°  φ=   0.0°  ψ= 270.0°
            homotopy_type_theory: θ=  90.0°  φ= 130.0°  ψ=  90.0°
             grammar_hott_tensor: θ= 130.0°  φ= 210.0°  ψ=  90.0°
      supercritical_proof_system: θ=  20.0°  φ= 130.0°  ψ= 270.0°
          berry_tabor_conjecture: θ= 160.0°  φ= 140.0°  ψ=  90.0°
              berry_tabor_proven: θ= 140.0°  φ= 320.0°  ψ=  90.0°
        holographic_berry_tensor: θ= 160.0°  φ= 180.0°  ψ=  90.0°
          holographic_berry_join: θ= 160.0°  φ= 240.0°  ψ=  90.0°
               fujita_conjecture: θ= 160.0°  φ= 100.0°  ψ=  90.0°
                  fujita_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
           fujita_counterexample: θ=   0.0°  φ=   0.0°  ψ= 270.0°
         caratheodory_conjecture: θ=  50.0°  φ= 110.0°  ψ= 270.0°
            caratheodory_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
           poincare_hopf_theorem: θ= 140.0°  φ= 290.0°  ψ=  90.0°
            convexity_constraint: θ= 100.0°  φ= 100.0°  ψ=  90.0°
        smoothness_consideration: θ= 140.0°  φ= 180.0°  ψ=  90.0°
         poincare_hopf_convexity: θ= 160.0°  φ= 260.0°  ψ=  90.0°
             umbilic_index_bound: θ= 140.0°  φ= 320.0°  ψ=  90.0°
                   triple_tensor: θ= 160.0°  φ= 260.0°  ψ=  90.0°
  curvature_line_global_structure: θ= 140.0°  φ= 320.0°  ψ=  90.0°
         convexity_real_analytic: θ= 100.0°  φ= 100.0°  ψ=  90.0°
            hopf_convex_analytic: θ= 160.0°  φ= 260.0°  ψ=  90.0°
         caratheodory_theorem_pm: θ= 140.0°  φ= 260.0°  ψ=  90.0°
          kissing_number_problem: θ=  70.0°  φ= 130.0°  ψ= 270.0°
                   kissing_dim_1: θ=   0.0°  φ= 180.0°  ψ= 270.0°
                   kissing_dim_2: θ=  50.0°  φ= 130.0°  ψ= 270.0°
                   kissing_dim_3: θ=  50.0°  φ= 130.0°  ψ= 270.0°
                   kissing_dim_4: θ=  70.0°  φ= 130.0°  ψ=  90.0°
                   kissing_dim_8: θ= 160.0°  φ= 240.0°  ψ=  90.0°
                  kissing_dim_24: θ= 160.0°  φ= 280.0°  ψ=  90.0°
             kissing_unknown_dim: θ=  70.0°  φ=  40.0°  ψ= 270.0°
               kusner_conjecture: θ= 160.0°  φ= 140.0°  ψ=  90.0°
                  kusner_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
           kusner_counterexample: θ=   0.0°  φ=   0.0°  ψ= 270.0°
              polyhedron_generic: θ=  30.0°  φ= 130.0°  ψ= 270.0°
                            cube: θ=   0.0°  φ= 130.0°  ψ= 270.0°
             regular_tetrahedron: θ=   0.0°  φ= 130.0°  ψ= 270.0°
                    equal_volume: θ=   0.0°  φ= 130.0°  ψ= 270.0°
         decomposition_congruent: θ=  80.0°  φ= 130.0°  ψ= 270.0°
           hilbert_third_problem: θ= 100.0°  φ= 140.0°  ψ=  90.0°
             dehn_counterexample: θ= 100.0°  φ= 120.0°  ψ= 210.6°
   erdos_faber_lovasz_conjecture: θ= 140.0°  φ= 290.0°  ψ=  90.0°
      erdos_faber_lovasz_theorem: θ=  90.0°  φ= 130.0°  ψ=  90.0°
     erdos_faber_lovasz_peeled_P: θ=  90.0°  φ=  40.0°  ψ=  90.0°
       gilbert_pollak_conjecture: θ=  20.0°  φ= 130.0°  ψ=  90.0°
            steiner_tree_problem: θ=  50.0°  φ= 130.0°  ψ= 270.0°
           minimal_spanning_tree: θ=  50.0°  φ= 130.0°  ψ= 270.0°
     equilateral_triangle_config: θ=  20.0°  φ= 130.0°  ψ=  90.0°
                   generic_graph: θ=  30.0°  φ=  40.0°  ψ= 270.0°
    sumner_conjecture_conditions: θ=  70.0°  φ= 110.0°  ψ=  90.0°
               hamiltonian_cycle: θ=  80.0°  φ= 290.0°  ψ=  90.0°
     sumner_conjecture_statement: θ= 140.0°  φ= 220.0°  ψ=  90.0°
            sidorenko_conjecture: θ=  70.0°  φ= 130.0°  ψ=  90.0°
                 bipartite_graph: θ=  70.0°  φ= 100.0°  ψ= 270.0°
               sidorenko_theorem: θ=  90.0°  φ= 130.0°  ψ=  90.0°
  topological_protection_component: θ=  20.0°  φ=   0.0°  ψ= 270.0°
        sidorenko_counterexample: θ=  70.0°  φ=  40.0°  ψ= 270.0°
               vaught_conjecture: θ= 100.0°  φ= 100.0°  ψ= 270.0°
                  vaught_theorem: θ= 120.0°  φ= 320.0°  ψ=  90.0°
           vaught_counterexample: θ=   0.0°  φ=   0.0°  ψ= 270.0°
    countable_first_order_theory: θ= 100.0°  φ=  70.0°  ψ= 270.0°
        grothendieck_A_lefschetz: θ= 160.0°  φ= 180.0°  ψ=  90.0°
            grothendieck_B_hodge: θ= 160.0°  φ= 130.0°  ψ=  90.0°
          grothendieck_C_kunneth: θ= 160.0°  φ= 100.0°  ψ=  90.0°
  grothendieck_D_numerical_homological: θ= 160.0°  φ= 160.0°  ψ=  90.0°
            grothendieck_AB_meet: θ= 160.0°  φ= 100.0°  ψ=  90.0°
            grothendieck_AD_join: θ= 160.0°  φ= 240.0°  ψ=  90.0°
           grothendieck_ABC_meet: θ= 160.0°  φ= 100.0°  ψ=  90.0°
          grothendieck_ABCD_meet: θ= 160.0°  φ= 100.0°  ψ=  90.0°
            grothendieck_AB_join: θ= 160.0°  φ= 210.0°  ψ=  90.0°
          grothendieck_ABCD_join: θ= 160.0°  φ= 240.0°  ψ=  90.0°
             goldbach_conjecture: θ=  80.0°  φ= 320.0°  ψ=  90.0°
           twin_prime_conjecture: θ= 110.0°  φ= 260.0°  ψ=  90.0°
             legendre_conjecture: θ= 140.0°  φ= 360.0°  ψ= 149.4°
       n_squared_plus_one_primes: θ= 100.0°  φ= 160.0°  ψ=  90.0°
              goldbach_twin_meet: θ=  70.0°  φ= 140.0°  ψ=  90.0°
               legendre_nsq_meet: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                landau_four_meet: θ=  70.0°  φ=  80.0°  ψ=  90.0°
               goldbach_peeled_P: θ= 120.0°  φ=  80.0°  ψ=  90.0°
              goldbach_twin_join: θ= 120.0°  φ= 280.0°  ψ=  90.0°
               legendre_nsq_join: θ= 100.0°  φ= 160.0°  ψ=  90.0°
                landau_four_join: θ= 120.0°  φ= 280.0°  ψ=  90.0°
                 gaussian_primes: θ=  30.0°  φ= 100.0°  ψ= 270.0°
           gaussian_moat_problem: θ= 120.0°  φ= 180.0°  ψ= 210.6°
                   monster_group: θ= 100.0°  φ= 160.0°  ψ=  90.0°
                      j_function: θ= 100.0°  φ= 280.0°  ψ=  90.0°
                moonshine_module: θ= 160.0°  φ= 240.0°  ψ=  90.0°
               cat0_cube_complex: θ=  30.0°  φ= 130.0°  ψ= 270.0°
            bestvina_brady_morse: θ=  30.0°  φ= 180.0°  ψ=  90.0°
            motivic_morse_theory: θ= 140.0°  φ= 240.0°  ψ=  90.0°
          motivic_critical_level: θ= 140.0°  φ= 240.0°  ψ=  90.0°
        hilbert_smith_conjecture: θ=  20.0°  φ= 130.0°  ψ= 270.0°
                 p_adic_integers: θ=  40.0°  φ=  80.0°  ψ= 210.6°
               lie_group_generic: θ=  90.0°  φ= 170.0°  ψ=  90.0°
              connected_manifold: θ=  90.0°  φ= 130.0°  ψ=  90.0°
          effective_group_action: θ= 120.0°  φ= 170.0°  ψ=  90.0°
         hilbert_first_continuum: θ=  40.0°  φ= 100.0°  ψ=  90.0°
      hilbert_second_consistency: θ=  20.0°  φ= 130.0°  ψ= 270.0°
        hilbert_fifth_lie_groups: θ=  60.0°  φ= 210.0°  ψ=  90.0°
          hilbert_eighth_riemann: θ=  80.0°  φ= 200.0°  ψ= 149.4°
       hilbert_tenth_diophantine: θ=  20.0°  φ=  40.0°  ψ= 270.0°
             yang_mills_baseline: θ=  90.0°  φ= 170.0°  ψ=  90.0°
         simon_problem_classical: θ=  40.0°  φ=  40.0°  ψ= 270.0°
           simon_problem_quantum: θ= 160.0°  φ= 180.0°  ψ=  90.0°
          rotas_basis_conjecture: θ=  30.0°  φ= 130.0°  ψ=  90.0°
        bounded_burnside_problem: θ=  50.0°  φ= 140.0°  ψ=  90.0°
      bounded_burnside_proven_n2: θ= 120.0°  φ= 320.0°  ψ=  90.0°
  bounded_burnside_counterexample: θ=  40.0°  φ=   0.0°  ψ= 270.0°
         burnside_infinite_group: θ=  70.0°  φ= 180.0°  ψ=  90.0°
      invariant_subspace_problem: θ=  40.0°  φ= 120.0°  ψ=  90.0°
       invariant_subspace_proven: θ=  60.0°  φ= 280.0°  ψ=  90.0°
            banach_space_generic: θ=  40.0°  φ= 120.0°  ψ=  90.0°
           hilbert_space_generic: θ=  60.0°  φ= 180.0°  ψ=  90.0°
          collatz_theorem_proven: θ= 140.0°  φ= 320.0°  ψ=  90.0°
          collatz_counterexample: θ=  40.0°  φ= 120.0°  ψ= 270.0°
               eden_growth_model: θ= 100.0°  φ= 170.0°  ψ=  90.0°
          eden_conjecture_proven: θ= 160.0°  φ= 320.0°  ψ=  90.0°
        eden_conjecture_unproven: θ= 160.0°  φ= 290.0°  ψ=  90.0°
                  boundary_given: θ= 100.0°  φ= 100.0°  ψ=  90.0°
                 proven_manifold: θ= 140.0°  φ= 320.0°  ψ=  90.0°
  first_passage_percolation_conjecture: θ= 100.0°  φ=  80.0°  ψ=  90.0°
  first_passage_percolation_proven: θ= 160.0°  φ= 280.0°  ψ=  90.0°
     richardson_model_conjecture: θ= 100.0°  φ=  80.0°  ψ=  90.0°
         richardson_model_proven: θ= 160.0°  φ= 320.0°  ψ=  90.0°
          proven_manifold_connes: θ= 140.0°  φ= 320.0°  ψ=  90.0°
             crouzeix_conjecture: θ=  50.0°  φ= 140.0°  ψ=  90.0°
        proven_manifold_crouzeix: θ= 140.0°  φ= 320.0°  ψ=  90.0°
             monomial_conjecture: θ=  80.0°  φ= 140.0°  ψ=  90.0°
                monomial_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
       bass_embedding_conjecture: θ=  80.0°  φ= 140.0°  ψ=  90.0°
          bass_embedding_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
              froberg_conjecture: θ=  80.0°  φ= 100.0°  ψ=  90.0°
                 froberg_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
               nagata_conjecture: θ=  80.0°  φ= 100.0°  ψ=  90.0°
                  nagata_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
             virasoro_conjecture: θ=  80.0°  φ= 100.0°  ψ=  90.0°
                virasoro_theorem: θ= 140.0°  φ= 320.0°  ψ=  90.0°
